plane,n,dice,median_dice,iou,precision,recall,specificity,hd95,hd95_penalized,empty_predictions
axial,346,0.8249719569602574,0.887985873490649,0.7340071558754816,0.8587848625295492,0.8278295085037773,0.997755110777616,8.268911934251221,12.358735749664646,4
coronal,257,0.8432966290950309,0.8924581005661691,0.750293887738264,0.8672455950550476,0.846886192361617,0.9975640100240108,7.154004247436731,8.53487844090006,1
sagittal,257,0.8543350970762464,0.893881783619292,0.7638183274535354,0.8743429315738565,0.8527208716926461,0.9983314613065195,8.176013546511028,8.176013546511028,0
