condition,n,accuracy,macro_precision,macro_recall,macro_f1,mcc,auc,mean_true_class_probability,median_true_class_probability
predicted,1000,0.99,0.989701366547576,0.9914465287427308,0.9905571582452646,0.9863555615692742,0.9992193679882435,0.989739908516407,1.0
target,1000,0.99,0.989701366547576,0.9914465287427308,0.9905571582452646,0.9863555615692742,0.9992034043897867,0.9897687858343125,1.0
no_mask,1000,0.99,0.989701366547576,0.9914465287427308,0.9905571582452646,0.9863555615692742,0.9992087712987916,0.9893786417841911,1.0
corrupted,1000,0.99,0.989701366547576,0.9914465287427308,0.9905571582452646,0.9863555615692742,0.9990622584897496,0.9893708879351616,1.0
