model,accuracy,accuracy_95ci,macro_f1,macro_f1_95ci,mcc,auc,mean_confidence,ece_15_bins,multiclass_brier
EfficientNet-B0,0.996,"0.9960 [0.9920, 0.9990]",0.9965443062169788,"0.9965 [0.9929, 0.9992]",0.9945545411826768,0.9996296325674504,0.9976786,0.003536,0.0076493419256556
ConvNeXt-Tiny,0.986,"0.9860 [0.9780, 0.9930]",0.9872406065688022,"0.9872 [0.9800, 0.9935]",0.980927362681188,0.9990184284156228,0.9960552190600002,0.0113823022600001,0.0248531453342265
TrustSeg-XAI,0.99,"0.9900 [0.9840, 0.9960]",0.9905571582452646,"0.9906 [0.9844, 0.9961]",0.9863555615692742,0.9992193679882436,0.9993751,0.0099901,0.0194381392497035
