endpoint_group,metric,n,estimate,ci_lower,ci_upper,bootstrap_n
EfficientNet-B0,accuracy,1000,0.996,0.992,0.999,10000
EfficientNet-B0,macro_f1,1000,0.9965443062169788,0.9929004347590764,0.9991970262906223,10000
ConvNeXt-Tiny,accuracy,1000,0.986,0.978,0.993,10000
ConvNeXt-Tiny,macro_f1,1000,0.9872406065688022,0.9799872749679284,0.9935029026093112,10000
TrustSeg-XAI,accuracy,1000,0.99,0.984,0.996,10000
TrustSeg-XAI,macro_f1,1000,0.9905571582452646,0.984356831175047,0.9960818840290092,10000
TrustSeg expert segmentation Dice,mean,860,0.8392228496910085,0.8280311509057252,0.8495356157486471,10000
Grad-CAM++ XAI IoU,mean,150,0.2360654548823529,0.2044199544606256,0.2684619712652994,10000
Causal faithfulness margin,mean,150,0.2763341606140196,0.2051388957605976,0.3499193489551707,10000
