model,dice,dice_95ci,iou,precision,recall,specificity,hd95,hd95_penalized
U-Net ResNet34,0.8321023886738097,,0.7405057609590114,0.840236433675654,0.8496924717608086,0.997373002517066,8.48255833651093,9.715893616619072
U-Net++ ResNet34,0.8353101075618531,,0.7436315564174741,0.8568757125328242,0.8399390909899676,0.99755961073451,9.36752649871997,10.187691953298556
TrustSeg-XAI,0.8392228496910085,"0.8392 [0.8280, 0.8495]",0.7477829246944291,0.8659625741614562,0.840962820237503,0.9978702377453506,7.907167778141584,9.966071872265832
