comparison,n,prediction_changes,correctness_changes,gains,losses,mean_true_probability_delta,median_true_probability_delta,mean_absolute_probability_delta,mcnemar_exact_p,wilcoxon_statistic,wilcoxon_p
predicted_vs_target,1000,0,0,0,0,2.8877317905426025e-05,0.0,3.773671388626098e-05,1.0,50.5,0.0403953306368895
predicted_vs_no_mask,1000,0,0,0,0,-0.0003612667322158,0.0,0.0004438360929489,1.0,68.0,0.0033855333245144
predicted_vs_corrupted,1000,0,0,0,0,-0.0003690205812454,0.0,0.0004494051933288,1.0,80.0,0.0084177466103175
